route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,direction_name,trip_bikes_allowed,trip_headsign_short
1,S2_87969-0000010-0,19490932,La Mesa,0,900103,S2_1_2_161,1,0,East,2,La Mesa
1,86487-1111100-0,19099503,La Mesa,0,900109,1_2_161,1,0,East,2,La Mesa
1,S2_87548-1111100-0,19383863,La Mesa,0,900109,S2_1_2_161,1,0,East,2,La Mesa
1,86485-0000001-0,19095088,La Mesa,0,900102,1_2_161,1,0,East,2,La Mesa
1,86486-0000010-0,19096921,La Mesa,0,900102,1_2_161,1,0,East,2,La Mesa
1,86487-1111100-0,19099504,La Mesa,0,900106,1_2_161,1,0,East,2,La Mesa
1,86733-0000010-0,19178502,La Mesa,0,900102,1_2_161,1,0,East,2,La Mesa
1,86735-0000001-0,19180457,La Mesa,0,900102,1_2_161,1,0,East,2,La Mesa
1,S2_87548-1111100-0,19383864,La Mesa,0,900106,S2_1_2_161,1,0,East,2,La Mesa
1,S2_87549-0000010-0,19386384,La Mesa,0,900102,S2_1_2_161,1,0,East,2,La Mesa
1,S2_87550-0000001-0,19388250,La Mesa,0,900102,S2_1_2_161,1,0,East,2,La Mesa
1,S2_87969-0000010-0,19490931,La Mesa,0,900102,S2_1_2_161,1,0,East,2,La Mesa
1,86487-1111100-0,19099505,La Mesa,0,900102,1_2_161,1,0,East,2,La Mesa
1,S2_87548-1111100-0,19383865,La Mesa,0,900102,S2_1_2_161,1,0,East,2,La Mesa
1,86485-0000001-0,19095089,La Mesa,0,900101,1_2_161,1,0,East,2,La Mesa
1,86486-0000010-0,19096926,La Mesa,0,900101,1_2_161,1,0,East,2,La Mesa
1,86487-1111100-0,19099506,La Mesa,0,900105,1_2_161,1,0,East,2,La Mesa
1,86733-0000010-0,19178507,La Mesa,0,900101,1_2_161,1,0,East,2,La Mesa
1,86735-0000001-0,19180458,La Mesa,0,900101,1_2_161,1,0,East,2,La Mesa
1,S2_87548-1111100-0,19383866,La Mesa,0,900105,S2_1_2_161,1,0,East,2,La Mesa
1,S2_87549-0000010-0,19386389,La Mesa,0,900101,S2_1_2_161,1,0,East,2,La Mesa
1,S2_87550-0000001-0,19388251,La Mesa,0,900101,S2_1_2_161,1,0,East,2,La Mesa
1,S2_87969-0000010-0,19490936,La Mesa,0,900101,S2_1_2_161,1,0,East,2,La Mesa
1,86487-1111100-0,19099507,La Mesa,0,900101,1_2_161,1,0,East,2,La Mesa
1,S2_87548-1111100-0,19383867,La Mesa,0,900101,S2_1_2_161,1,0,East,2,La Mesa
1,86485-0000001-0,19095086,La Mesa,0,900105,1_2_161,1,0,East,2,La Mesa
1,86486-0000010-0,19096925,La Mesa,0,900105,1_2_161,1,0,East,2,La Mesa
1,86487-1111100-0,19099508,La Mesa,0,900107,1_2_161,1,0,East,2,La Mesa
1,86733-0000010-0,19178506,La Mesa,0,900105,1_2_161,1,0,East,2,La Mesa
1,86735-0000001-0,19180455,La Mesa,0,900105,1_2_161,1,0,East,2,La Mesa
1,S2_87548-1111100-0,19383868,La Mesa,0,900107,S2_1_2_161,1,0,East,2,La Mesa
1,S2_87549-0000010-0,19386388,La Mesa,0,900105,S2_1_2_161,1,0,East,2,La Mesa
1,S2_87550-0000001-0,19388248,La Mesa,0,900105,S2_1_2_161,1,0,East,2,La Mesa
1,S2_87969-0000010-0,19490935,La Mesa,0,900105,S2_1_2_161,1,0,East,2,La Mesa
1,86487-1111100-0,19099509,La Mesa,0,900103,1_2_161,1,0,East,2,La Mesa
1,S2_87548-1111100-0,19383869,La Mesa,0,900103,S2_1_2_161,1,0,East,2,La Mesa
1,86485-0000001-0,19095091,La Mesa,0,900103,1_2_161,1,0,East,2,La Mesa
1,86486-0000010-0,19096929,La Mesa,0,900104,1_2_161,1,0,East,2,La Mesa
1,86487-1111100-0,19099510,La Mesa,0,900108,1_2_161,1,0,East,2,La Mesa
1,86733-0000010-0,19178510,La Mesa,0,900104,1_2_161,1,0,East,2,La Mesa
1,86735-0000001-0,19180460,La Mesa,0,900103,1_2_161,1,0,East,2,La Mesa
1,S2_87548-1111100-0,19383870,La Mesa,0,900108,S2_1_2_161,1,0,East,2,La Mesa
1,S2_87549-0000010-0,19386392,La Mesa,0,900104,S2_1_2_161,1,0,East,2,La Mesa
1,S2_87550-0000001-0,19388253,La Mesa,0,900103,S2_1_2_161,1,0,East,2,La Mesa
1,S2_87969-0000010-0,19490939,La Mesa,0,900104,S2_1_2_161,1,0,East,2,La Mesa
1,86487-1111100-0,19099511,La Mesa,0,900104,1_2_161,1,0,East,2,La Mesa
1,S2_87548-1111100-0,19383871,La Mesa,0,900104,S2_1_2_161,1,0,East,2,La Mesa
1,86485-0000001-0,19095090,La Mesa,0,900104,1_2_161,1,0,East,2,La Mesa
1,86486-0000010-0,19096931,La Mesa,0,900103,1_2_161,1,0,East,2,La Mesa
1,86487-1111100-0,19099512,La Mesa,0,900109,1_2_161,1,0,East,2,La Mesa
1,86733-0000010-0,19178512,La Mesa,0,900103,1_2_161,1,0,East,2,La Mesa
1,86735-0000001-0,19180459,La Mesa,0,900104,1_2_161,1,0,East,2,La Mesa
1,S2_87548-1111100-0,19383872,La Mesa,0,900109,S2_1_2_161,1,0,East,2,La Mesa
1,S2_87549-0000010-0,19386394,La Mesa,0,900103,S2_1_2_161,1,0,East,2,La Mesa
1,S2_87550-0000001-0,19388252,La Mesa,0,900104,S2_1_2_161,1,0,East,2,La Mesa
1,S2_87969-0000010-0,19490941,La Mesa,0,900103,S2_1_2_161,1,0,East,2,La Mesa
1,86487-1111100-0,19099513,La Mesa,0,900106,1_2_161,1,0,East,2,La Mesa
1,S2_87548-1111100-0,19383873,La Mesa,0,900106,S2_1_2_161,1,0,East,2,La Mesa
1,86485-0000001-0,19095080,La Mesa,0,900102,1_2_161,1,0,East,2,La Mesa
1,86486-0000010-0,19096932,La Mesa,0,900102,1_2_161,1,0,East,2,La Mesa
1,86487-1111100-0,19099514,La Mesa,0,900102,1_2_161,1,0,East,2,La Mesa
1,86733-0000010-0,19178513,La Mesa,0,900102,1_2_161,1,0,East,2,La Mesa
1,86735-0000001-0,19180449,La Mesa,0,900102,1_2_161,1,0,East,2,La Mesa
1,S2_87548-1111100-0,19383874,La Mesa,0,900102,S2_1_2_161,1,0,East,2,La Mesa
1,S2_87549-0000010-0,19386395,La Mesa,0,900102,S2_1_2_161,1,0,East,2,La Mesa
1,S2_87550-0000001-0,19388242,La Mesa,0,900102,S2_1_2_161,1,0,East,2,La Mesa
1,S2_87969-0000010-0,19490942,La Mesa,0,900102,S2_1_2_161,1,0,East,2,La Mesa
1,86487-1111100-0,19099515,La Mesa,0,900105,1_2_161,1,0,East,2,La Mesa
1,S2_87548-1111100-0,19383875,La Mesa,0,900105,S2_1_2_161,1,0,East,2,La Mesa
1,86485-0000001-0,19095077,La Mesa,0,900101,1_2_161,1,0,East,2,La Mesa
1,86486-0000010-0,19096936,La Mesa,0,900101,1_2_161,1,0,East,2,La Mesa
1,86733-0000010-0,19178517,La Mesa,0,900101,1_2_161,1,0,East,2,La Mesa
1,86735-0000001-0,19180446,La Mesa,0,900101,1_2_161,1,0,East,2,La Mesa
1,S2_87549-0000010-0,19386399,La Mesa,0,900101,S2_1_2_161,1,0,East,2,La Mesa
1,S2_87550-0000001-0,19388239,La Mesa,0,900101,S2_1_2_161,1,0,East,2,La Mesa
1,S2_87969-0000010-0,19490946,La Mesa,0,900101,S2_1_2_161,1,0,East,2,La Mesa
1,86487-1111100-0,19099516,La Mesa,0,900101,1_2_161,1,0,East,2,La Mesa
1,S2_87548-1111100-0,19383876,La Mesa,0,900101,S2_1_2_161,1,0,East,2,La Mesa
1,86487-1111100-0,19099517,La Mesa,0,900107,1_2_161,1,0,East,2,La Mesa
1,S2_87548-1111100-0,19383877,La Mesa,0,900107,S2_1_2_161,1,0,East,2,La Mesa
1,86485-0000001-0,19095079,La Mesa,0,900105,1_2_161,1,0,East,2,La Mesa
1,86486-0000010-0,19096935,La Mesa,0,900105,1_2_161,1,0,East,2,La Mesa
